"Type","Date","Part.of.a.policing.operation","Policing.operation","Latitude","Longitude","Gender","Age.range","Self.defined.ethnicity","Officer.defined.ethnicity","Legislation","Object.of.search","Outcome","Outcome.linked.to.object.of.search","Removal.of.more.than.just.outer.clothing","lsoa21cd","lsoa21nm"
"Vehicle search","2019-06-01T19:15:00+00:00","False",NA,53.532805,-2.67703,"Male","over 34","White - Gypsy or Irish Traveller","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01006359","Wigan 014E"
"Person search","2019-06-01T19:30:00+00:00","True",NA,53.479028,-2.246198,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T19:30:00+00:00","True",NA,53.485065,-2.243249,"","","Black/African/Caribbean/Black British - African","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T19:46:00+00:00","False",NA,53.502357,-2.101377,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Articles for use in criminal damage","A no further action disposal","","False","E01005954","Tameside 005A"
"Person search","2019-06-01T20:00:00+00:00","True",NA,53.479028,-2.246198,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T20:25:00+00:00","True",NA,53.479028,-2.246198,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T20:35:00+00:00","True",NA,53.479028,-2.246198,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T20:40:00+00:00","True",NA,53.484793,-2.240007,"Male","18-24","Black/African/Caribbean/Black British - African","Other","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","True","E01033658","Manchester 054C"
"Vehicle search","2019-06-01T20:40:00+00:00","False",NA,53.471362,-2.180274,"","","","","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Arrest","True","False","E01034113","Manchester 017I"
"Person and Vehicle search","2019-06-01T20:40:00+00:00","False",NA,53.471362,-2.180274,"Male","18-24","Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Arrest","True","False","E01034113","Manchester 017I"
"Person search","2019-06-01T20:41:00+00:00","True",NA,53.476524,-2.239976,"Female","over 34","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033653","Manchester 055B"
"Person search","2019-06-01T21:05:00+00:00","True",NA,53.479028,-2.246198,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T21:45:00+00:00","False",NA,53.611638,-2.431749,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest","False","False","E01004771","Bolton 003C"
"Person search","2019-06-01T22:05:00+00:00","False",NA,53.438263,-2.242861,"","","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Arrest","False","False","E01005279","Manchester 035E"
